window,best_asset,best_rel_vs_btc,worst_asset,worst_rel_vs_btc
6M,GOOGL,1.2418844855613869,MSFT,0.24928683960707443
3M,GOOGL,0.4096227719756378,MSFT,0.010218958420114221
1M,AAPL,0.03330635217870459,MSFT,-0.125109292727963
7D,MSFT,0.03902881382672119,GOOGL,-0.009262740757862264
